StudentID,Remarks
1,Good!!
2,Excellent !!!!
3,10
4,atleast all numerical should solve which asked in exam.
5,do change the taecher for the next batch.
6,"should not talk about projects seminars during lectures, because some student gets panic..."
7,Teaching skill has to be improve
8,Use a black board
9,Putting a lots of pressure on student
10,Sincerely not teaching
11,"do not ever try to teach with mobile phones...
students use social networks during lectures..."
12,Good teaching knowledge
13,"should not talk about projects seminars in classs during lectures....
please"
14,Can't Course outcome fulfill
15,"excellent, "
16,Next HOD 
17,Good technical knowledge
18,mam you need first study the subject briefly.
19,no comment.
20,sir you should study all the subject in engineering. so that our basic are clear.
21,good in teaching
22,good in teaching
23,Good
24,Good in teaching
25,Good 
26,Good 
27,"                          Sir plz be strict to students good teacher
        very very very very very bad.
very lenghty assignment (about 59 questions). no subject knowledge. behaviour with student is ver bad. very very very very very bad.
very lenghty as"
28,Best faculty for computer network.. Supported everytime 
29,Little harsh...
30,No
31,Bo
32,nice
33,"excellent teaching from sir
"
34,Provide proper hand writen notes
35,Please explain the all topic
36,"plz leave this collage
and dont teach anyonce
bea"
37,"should improve teaching quality
"
38,"teaching was very fast, difficult to understand"
39,very nicely teached to us
40,unit 3 should be recoducted
41,none
42,good teacher style 
43,"very bad
"
44,good..........
45,"interesting subject
"
46,"very poor
"
47,"very good its helpfull for future
"
48,good
49,"very good
"
50,satisfactory
51,satisfactory but not good
52,all well and good
53,good teaching experience
54,excellent
55,well experience mam
56,good
57,not satisfied
58,bad
59,bad
60,Excellent teaching...??
61,Poor teaching ??
62,No words for this kind of great person??
63,"Very Nice sir , Great enthuasiam"
64,Best faculty!
65,Best teacher 
66,Good can do better 
67,Best
68,Good
69,Bestest
70,Best
71,Best faculty I've ever seen 
72,??
73,Good
74,Excellent
75,No 
76,A++++
77,Teaches awesome
78,Good
79,A++
80,Best teaching techniques 
81,Nice !!
82,Excellent work 
83,No queries
84,A++++
85,Excellent***
86,I don't understand the teaching 
87,Best teacher.!!!
88,Good teacher
89,A++
90,Taught well
91,Very good teacher
92,does envolve the student in the class 
93,"Punctual, helping nature
"
94,Excellent
95,Good 
96,Sir please teach us full syllabus so that be able  to fight competitive exam in future 
97,Very good
98,"Really nice with behavior 
"
99,Good
100,All gud??
101,Good
102,Excellent!
103,No 
104,Really determined. 
105,Professional 
106,Good
107,"Best teaching techniques 
"
108,Excellent
109,Excellent
110,Nice
111,Best faculty of 1st year 
112,Something new we got from the sir
113,Excellent
114,Very good faculty
115,Excellent 
116,Excellent 
117,Handwriting good but little small
118,Excellent
119,Good
120,Umm..nice
121,Fine
122,Great knowledge with great skills of teaching 
123,Very good
124,Mam is very good....very good teaching....
125,She will not take test in week
126,BEST!!
127,Excellent 
128,Excellent 
129,Activities given by ma'am was very nice
130,Very good 
131,Excellent
132,Good....
133,Capable of teaching in IIT's
134,Good 
135,Good
136,aaa aaa aaa Slow teaching...
137,Very good 
138,Good!!
139,Nice mam
140,Handwriting is very small 
141,Sir should not write in large letters 
142,Like the way of teaching
143,Excellent
144,A+++++++++++++++
145,Slow sloww
146,????????
147,"Ma'am in this semester you were teaching very fast...
"
148,Excellent
149,Excellent 
150,Excellent 
151,Good
152,NICE.
153,Knowledgeable faculty with a friendly and helpful nature 
154,Excellent 
155,Good...
156,Excellent job
157,"Helping nature, understand students problem"
158,They should not come on time 
159,Excellent 
160,Very good faculty 
161,Capable of teaching in IIT's
162,Good Teacher
163,??
164,Goood
165,Good
166,"Verygood
"
167,Awesome
168,All was gud??
169,Try to enhanced the understanding power of students
170,Good
171,Excellent
172,??
173,No
174,Best co-ordinator
175,Excellent 
176,Font should be bigger on black board
177,Excellent
178,No remark is needed for Shahid sir as he is the best teaching faculty as compared to others
179,No issues
180,Teaching Good 
181,"Good

"
182,No issues.best performance
183,Capable of teaching in IIT's
184,Excellent
185,Excellent teaching and knowledge 
186,Excellent teaching
187,No issues.very well performance
188,Excellent
189,Teaching Good 
190,Good person 
191,Best teacher
192,Teaching Good 
193,Excellent faculty 
194,Very good teaching 
195,Fast teaching bt nice
196,Brillient 
197,Sweet nature and good teacher
198,Good teaching
199,Best math teacher 
200,Acche Mann k sacche
201,Excellent
202,Non issue
203,Good
204,Well lab
205,Excellent 
206,Excellent 
207,Good teacher 
208,Mahoooool
209,Good Teaching With Explanation
210,Good
211,Suberb
212,Hmmm 
213,Good Explanation and Teaching
214,Good
215,V.good
216,Good... Will  be improve better
217,Very good
218,Good
219,The only teacher with knowledge of industry and real time . 
220,Great teacher .
221,Best  teacher 
222,He is the only faculty with subject knowledge and industrial knowledge .
223,Way of teaching is best
224,should be given more authority to conduct various programm related to student activeity
225,Gud knowledge for subject
226,Teaching is good
227,Very good knowledge
228,"unnecessary pressure on student , should stop sending useless messages on WhatsApp at night and should stop experiment on student , step down from hod post , and instead of making student look like professional try to make them professional , no technical"
229,Teaching in cse is very nice 
230,nice teacher ??
231,"worst hand writing in whole electronics department , must write in bigger font it is not visible from even  second bench , instead of saying one sentence three times say it ones slowly, do not pressure student , most humble request use bigger handwriting "
232,"did not conducted any practical , should bring knowledge giving sir like sufiyan sir or wasim sir best teacher in department "
233,practicals should be given in printed form we are engineering student not a 10 std student to practice handwriting and should conduct practicals none conducted
234,Poor communication skills
235,Just need improvement in class control
236,Awesomesir
237,Friendly and talkative teacher. Perfect mentor indeed.
238,Cool sir
239,Very interactive classes
240,Very good
241,good
242,gooood
243,Not puntual
244,College needs this type of faculty
245,good best teacher
246,Good!!!
247,should have more lectures
248,Good
249,good 
250,greate faculty
251,good
252,excellent
253,excellent
254,Good
255,Good
256,Good
257,Good Teacher
258,Good Teacher
259,We need more time of irfan ali sir ji
260,"Sir ji
As per my thinking
 We are  wasting
Our time during regular lectures .u can teach same thing in half time as u take now."
261,Teaching with clear all doubts
262,I felt a pretty rude behavior towards students . Dominance was given first priority rather than homoreous teaching . 
263,Excellent
264,Excellent
265,"Good, reliable, lenient"
266,Bht sahi teacher hai shahid sir ????????
267,????
268,??????
269,Very strict????
270,Excellent
271,Excellent
272,Excellent
273,Excellent
274,Moin sir ????
275,Excellent
276,Excellent
277,Excellent
278,"Punctual attitude,
Friendly behaviour, outstanding motivated to students,send real time software industry information to students"
279,"I practically feel real genuine attitude, outstanding motivated, prompt in subject curriculum activity,provide online study material, provide subject related PDF and share it through mail , I am enjoy I& cs classes becz all classes done through projector
"
280,"Prompt behaviour,class take through projector,share study material online , frequently send feedback through mail, took seminar on different different topic , madam have little jolly  mood so it is very interesting for us for maintaining patience in class"
281,Good nature
282,Excellent teaching and experience
283,Excellent teaching experience
284,Excellent teaching skills and vast knowledge
285,Good
286,Good
287,Good
288,Highly experienced and excellent teaching
289,Having a lott of knowledge and experience
290,Made the subject more easier by the techniques of teaching 
291,Good natured and helpful 
292,Love u sir
293,If u give us more questions in q bank for   exam that will better. Because ur less que nobody study well
294,Good Teaching Skill 
295,Nice mam 
296,Nice teaching technique 
297,Best teaching technique 
298,Nice teaching technique 
299,Nice 
300,Good 
301,Good 
302,"Awesome experience in workshop for being there first time 
Thank you so much to all "
303,"teaching skills very are very good 
"
304,bad faculty 
305,"very good teacher and deep knowledge about the subject, teach with full efforts and we understand very good"
306,u teach with a good techniques easy to understand.
307,we are not understand because this faculty not teach properly only westing time in decteting subject
308,best teacher
309,good teacher
310,"this faculty not teach properly, because of experience his atitude is very high always torcher the students"
311,best teacher and having a great experience of teaching
312,good faculty
313,explanation part of sir is very good so we need to understand more rather than only writing....
314,survey 2 must also be taught by Azaz sir. it was a very good experience
315,PRACTICALS SHUILD BE INCREAS
316,SITE VISIT SHOULD BE WELL KNOWLEDGE FULL & SKILL FULL
317,WE WANT PRACTICAL KNOWLEDGE.
318,NO
319,overall teaching was very good but there was something missing in student''s interaction..
320,Good knowledge .
321,excellent teaching
322,Good speed in teaching.
323,Good practical knowledge in subject good teaching skills.
324,good  sir i ever seen
325,Lack of knowledge.  
326,"teaching with so high speed that nothing get understood.
concepts not get clear easily."
327,nice mam i have ever seen with full knowledge of every subject
328,love your teaching and teaching skills... please teach us in the third year also...
329,teaching way is excellent 
330,teaching way is not that much satisfactory
331,students never getting bored even though its totay theory lecture
332,"syllabus never completed,lazy attitude,never maintain punctuality,"
333,do not uses blackboard
334,solve numerical on blACKBOARD
335,thank you sir
336,EXCELLENT
337,GOOD
338,PERFECT TEACHING
339,A
340,Sir is too kind.. Thats why students misbehaves.. 
341,Excellent
342,NOTHING
343,good control on class
344,NOTHING
345,NOTHING
346,NOTHING
